ENGLISH,ARABIC,FRENCH,CATEGORY
Organic Blackcurrant Juice,عصير الكشمش الأسود العضوي,Jus de cassis biologique,
Organic Blueberry Flavor,نكهة التوت العضوية,Saveur de myrtille biologique,
Organic Blueberry Flavour,نكهة التوت العضوية,Saveur de myrtille biologique,
Organic Brown Rice Cereal,حبوب الأرز البني العضوي,Céréales de riz brun biologiques,
Organic Carrot Juice,عصير الجزر العضوي,Jus de carotte biologique,
Organic Chocolate Flavor,نكهة الشوكولاته العضوية,Saveur de chocolat biologique,
Organic Coconut Water from Concentrate,ماء جوز الهند العضوي من المركز,Eau de noix de coco biologique à partir de concentré,
Organic Erythritol,إريثريتول عضوي,Érythritol biologique,
Organic Lime Flavor,نكهة الليمون العضوي,Saveur de chaux biologique,
Organic Lime Flavour,نكهة الليمون العضوي,Saveur de chaux biologique,
Organic Mango Flavor,نكهة المانجو العضوية,Saveur de mangue biologique,
Organic Mango Flavour,نكهة المانجو العضوية,Saveur de mangue biologique,
Organic Mint Flavor,نكهة النعناع العضوية,Saveur de menthe biologique,
Organic Mint Flavour,نكهة النعناع العضوية,Saveur de menthe biologique,
Organic Oatmeal Cereal,دقيق الشوفان العضوي,Céréales d'avoine biologique,
Organic Peach Flavor,نكهة الخوخ العضوية,Arôme de pêche biologique,
Organic Peach Flavour,نكهة الخوخ العضوية,Arôme de pêche biologique,
Organic Peanut Butter,زبدة الفول السوداني العضوية,Beurre d'arachide biologique,
Organic Pearled Barley,شعير عضوي,Orge perlé biologique,
Organic Rebaudioside A,,Rébaudioside A biologique,
Organic Stevia Leaf Extract,,Extrait organique de feuille de stévia,
Organic Watermelon Flavor,نكهة البطيخ العضوية,Saveur de pastèque biologique,
Organic Watermelon Flavour,نكهة البطيخ العضوية,Saveur de pastèque biologique,
Orris Root,جذر السوسن,Racine d'iris,
Orthophenyl phenol,أرثوفينيل الفينول,Phénol d'orthophényl,
Orthophosphates,,Orthophosphates,
Orthophosphoric Acid,,Acide orthophosphorique,
Orujo,,Orujo,
Orzo,,Orzo,
Ossame,,Ossame,
Ostrich,نعامة,Autruche,
Ouzo,مشروب الأوزو,Ouzo,
Ox Bile Extract,مستخلص كبد الثور,Extrait de bile de boeuf,
Ox Tongue,لسان الثور,Langue de bœuf,
Oxidised Polyethylene Wax,,Cire de polyéthylène oxydée,
Oxidised Starch,النشا المؤكسد,Amidon oxydé,
Oxidized Cornstarch,نشا الذرة المؤكسدة,Fécule de maïs oxydée,
Oxidizing and Reducing Agents,,Agents oxydants et réducteurs,
Oxised starch,,Amidon oxydé,
Oxygen,أوكسيجين,Oxygène,
Oxystearin,,Oxystéarine,
Oyster,محار,Huître,
Oyster Plant,,Huître,
Oyster Sauce,صلصة المحار,Sauce aux huîtres,
p Anisaldehyde,,p anisaldéhyde,
p Methoxybenzaldehyde,,p méthoxybenzaldéhyde,
Paccheri,باستا باكتشيري,Paccheri,
Pacific Bluefin Tuna,تونة المحيط الهادئ ذات الزعانف الزرقاء,Thon rouge du Pacifique,
Pacific Cod,سمك قد المحيط الهادئ,Morue du Pacifique,
Pacific Herring,رنجة المحيط الهادئ,Hareng du Pacifique,
Pacific Ocean Perch,سمك جثم المحيط الهادئ,Perche du Pacifique,
Pacific Oyster,محار المحيط الهادئ,Huître du Pacifique,
Pacific Sanddab,,Sanddab du Pacifique,
Pacific Snapper,نهاش المحيط الهادئ,Vivaneau du Pacifique,
Pacific White Shrimp,روبيان المحيط الهادىء الأبيض,Crevette blanche du Pacifique,
Packaging Gases ,,Gaz d'emballage,
PAG,,Gaz d'emballage,
Pale Ale,بيرة خفيفة,Bière blanche,
Pale Lager,بيرة خفيفة,Pale lager,
Palinka,مشروب بالينكا,Palinka,
Palm,نخيل,Palmier,
Palm Fat,دهن النخل,Graisse de palme,
Palm kernel fat,دهن نواة النخيل,Graisse de palme,
Palm Kernel Oil,زيت نواة النخيل,Huile de palme,
Palm Nectar,رحيق النخيل,Nectar de palme,
Palm Oil,زيت النخيل,Huile de palme,
Palm Olein,أولين النخيل,Liquide issu du fractionnement de l'huile de palme,
Palm Wax,شمع النخيل,Cire de palme,
Palm Wine,نبيذ النخيل,Vin de palme,
Palmitic Acid,حمض النخيل,Acide palmitique,
Pan Mee,بان مي,Pan Mee,
Pan Mee Noodles,نودلز بان مي,Nouilles Pan Mee,
Panax Ginseng,الجينسنغ الآسيوي,Panax Ginseng,
Panax Quinquefolius,باناكس كوينكوفوليوس,Panax Quinquefolius,
Pancetta,بانشيتا,Pancetta,
Panch Phoran,بهارات بانش فوران,Panch Phoran,
Pandan Leaf,ورقة باندان,Feuille de pandan,
Pansotti,باستا بانسوتي,Pansotti,
Pantothenic Acid,حمض البانتوثنيك,Acide pantothénique,
Paomo,الباومو,Paomo,
Paomo Noodles,نودلز الباومو,Nouilles Paomo,
Papadum,خبز بابادم,Papadum,
Papain,,Papain,
Papaya,بابايا,Papaye,
Paper Dosa,ورقة دوسة,Papier Dosa,
Pappardelle,باستا بابارديلي,Pappardelle,
Paprika,بابريكا,Paprika,
Paprika Extract,مستخلص البابريكا,Extrait de paprika,
Paprika Extract Capsanthian Capsorubin,مستخلص الفلفل الحلو,Extrait de paprika Capsanthian Capsorubin,
Paprika Powder,مسحوق البابريكا,Poudre de paprika,
Paprika Red,الفلفل الأحمر,Rouge de Paprika,
Para Hydroxybenzoic Acid,,Acide para hydroxybenzoïque,
Parabens,البارابين,Parabens,
Paraffins,برافين,Paraffines,
Parakari,مشروب باراكاري,Parakari,
Paratha,خبز الباراتا,Paratha,
Parboiled Rice,أرز مسلوق,Riz étuvé,
Parker House Roll,خبز باركر رول هاوس,Parker House Roll,
Parkin,كيك باركين,Parkin,
Parmesan,جبن البارميزان,Parmesan,
Parmigiano Reggiano,جبن بارميجيانو ريجيانو,Parmigiano reggiano,
Parotta,خبز الباراتا,Parotta,
Parrotfish,السمكة الببغائية,Poisson perroquet,
Parsley,بقدونس,Persil,
Parsnip,الجزر الأبيض,Panais,
Part,جزء,Partie,
Part Skim,منزوع الدسم جزئياً,Demi écrémé,
Partially defatted peanut flour,دقيق الفول السوداني منزوع الدسم جزئيًا,Farine d'arachide partiellement dégraissée,
Partially Hydrogenated Coconut Oil,,Huile de noix de coco partiellement hydrogénée,
Partially Hydrogenated Oil,زيت مهدرج جزئيًا,Huile partiellement hydrogénée,
Partially Hydrogenated Palm Oil,زيت النخيل المهدرج جزئيًا,Huile de palme partiellement hydrogénée,
Partially Hydrogenated Soya Oil,زيت فول الصويا المهدرج جزئيًا,Huile de soja partiellement hydrogénée,
Partially Hydrogenated Vegetable Oil,الزيوت النباتية المهدرجة جزئيًا,Huile végétale partiellement hydrogénée,
Partially Hydrolyzed Guar Gum,,Gomme de guar partiellement hydrolysée,
Partridge,طائر الحجل,Perdrix,
Passatelli,باستا باساتيللي,Passatelli,
Passionfruit,باشن فروت,Fruit de la passion,
Pasta al Ceppo,باستا آل تشيبو,Pâtes al Ceppo,
Pasteurised,المبستر,Pasteurisé,
Pasteurisedmilk,حليب مبستر,Lait pasteurisé,
Pasteurized,المبستر,Pasteurisé,
Pasteurized milk,حليب مبستر,Lait pasteurisé,
Pastina,باستا باستينا,Pastina,
Pastirma,بسطرمة,Pastirma,
Pastis,مشروب باستيس,Pastis,
Pastrami,بسطرمة,Pastrami,
Pastry,معجنات,Pâtisserie,
Pastry Flour,دقيق المعجنات,Farine à pâtisserie,
Pasty,فطيرة,Pâteux,
Patagonian Toothfish,سمك باتاجونيان المسنن,Légine patagonienne,
Pate,باتيه معجون كبد الإوز,Pâté,
Patent Blue V,,Bleu breveté V,
Patent Flour,,Farine brevetée,
Pea,بازيلا,Pois,
Peach,دراق,Pêche,
Peanut,فول سوداني,Cacahuète,
Peanut Butter,زبدة الفول السوداني,Beurre d'arachide,
Peanut butter flavored chips ,رقائق الذرة بنكهة الفول السوداني,Croustilles au beurre de cacahuète,
Peanut butter spread ,فول سوداني قابل للدهن,Tartinade au beurre d'arachide,
Peanut flour,دقيق الفول السوداني,Farine d'arachide,
Peanut Oil,زيت الفول السوداني,Huile d'arachide,
Peanut Pie,فطيرة الفول السوداني,Tarte aux arachides,
Pear,كمثرى,Poire,
Pear Cider,مشروب الكمثري,Cidre de poire,
Pearl Starch,نشاء الكمثري,Amidon de perle,
Pecan,جوز البقان,Noix de pécan,
Pecan Nut,الجوز البقان,Noix de pécan,
Pecan Oil,زيت البقان,Huile de noix de pécan,
Pecan Pie,فطيرة جوز البقان,Tarte aux noix de pécan,
Pectic Acid,حمض البكتيك,Acide pectique,
Pectin,البكتين,Pectine,
Pectin High Methoxy,,Pectine haut méthoxy,
Pectin Low Methoxy,,Pectine faible méthoxy,
Pectinic Acid,حمض البكتينيك,Acide pectinique,
Pectins,البكتينات,Pectines,
Peekytoe Crab,سلطعون بيكيتو,Crabe cancer irroratus,
Peket,مشروب بيكيت,Peket,
Pelargonic Aldehyde,,Aldéhyde pélargonique,
Penne,باستا بيني,Penne,
Penne Ricce,باستا بيني المصنوعة من الأرز,Penne Ricce,
Pentasodium Tripolyphosphate,,Tripolyphosphate pentasodique,
Pepper,فلفل,Poivre,
Pepper Bell,الفلفل ، الحلو,Poivron,
Pepper Cayenne,الفلفل ، الحار,Poivre de Cayenne,
Pepper Chili,الفلفل ، الفلفل الحار,Poivre du Chili,
Pepper Red,فلفل احمر,Poivron rouge,
Peppermint,نعنع بري,Menthe poivrée,
Pepperoni,ببروني,Pepperoni,
Pepperoni Roll,لفائف الببروني,Rouleau de pepperoni,
Pepsi,بيبسي,Pepsi,
Peptone,الببتون,Peptone,
per 100g,لكل مائة جرام,pour 100g,
per Portion,لكل جزء,par portion,
Perch,سمك البرش النهري,Perche,
Perciatelli,باستا بيرشياتيلي,Perciatelli,
Perilla,نبات البريلا,Périlla,
Perilla Leaf,ورقة نبات البريلا,Feuille de périlla,
Perilla Seed,بذور نبات البريلا,Graine de périlla,
Perilla Seed Oil,زيت بذور البريلا,Huile de graine de périlla,
Periwinkle,العناقية,Pervenche,
Perry,مشروب الإجاص الكحولي,Poiré,
Persimmon,فاكهة الكاكي,Kaki,
Pesto,بيستو,Pesto,
Petrolatum,بترولي,Pétrolatum,
Petroleum Wax,شمع البترول,Cire de pétrole,
PGPR,,Polyricinoléate de polyglycérol,
pH,,pH,
Pheasant,طائر التدرج,Faisan,
Pheasant Ring necked,طائر التدرج ، ذات عصابة العنق,Faisan à collier,
Phenethyl Phenylacetate,,Phénylacétate de phénéthyle,
Phenylacetic Acid,حمض الفينيل أسيتيك,Acide phénylacétique,
Phenylanaline,الفينيل أنالين,Phénylanaline,
Phenylethyl Anthranilate,فينيلثيل أنثرنيلات,Anthranilate de phényléthyle,
Phenylethyl Isobutyrate,فينيل إيزوبوتيريت,Isobutyrate de phényléthyle,
Phosphate,فوسفات,Phosphate,
Phosphate Soda,فوسفات الصودا,Soda de phosphate,
Phosphated Distarch Phosphate,,Phosphate de distarque phosphaté,
Phosphated distarch phosphate,,Phosphate de diamidon phosphaté,
Phosphated Flour,دقيق الفوسفات,Farine phosphatée,
Phosphoric acid,حمض الفسفوريك,Acide phosphorique,
Phosphorus P,الفوسفور,Phosphore P,
Phytic Acid,حمض الخليك,Acide phytique,
Picalilli,,Picalilli,
Picchiarelli,,Picchiarelli,
Pici,باستا بيتشي,Pici,
Pickled,مخلل,Marinés,
Pickled Herring,سمك الرنجة المخلل,Hareng mariné,
Picon Cheese,جبنة بيكون,Fromage Picon,
Pie,فطيرة,Tarte,
Pigment Rubine,صبغة روبين صبغة باللون الأحمر,Lithol rubine BK,
Pike,سمكة كراكي رمحي,Brochet,
Pilchard,سمك الرنكة,Pilchard,
Pilsener,بيرة باليسينر,Pilsener,
Pilus,أشعار بكتيرية,Pilus,
Pimaricin,بيماريسين,Pimaricin,
Pimento Cheese,جبن بيمينتو,Fromage au piment,
Pimiento,فلفل إسباني,Pimiento,
Pine Needle,إبرة شجر الصنوبر,Aiguille de pin,
Pine Needle Oil,زيت إبرة شجرة الصنوبر,Huile d'aiguille de pin,
Pine Nut,صنوبر,Pignon de pin,
Pine Seed,بذور الصنوبر,Graine de pin,
Pine Seed Oil,زيت بذور الصنوبر,Huile de graines de pin,
Pineapple,أناناس,Ananas,
Pineapple Upside down Cake,كيك الأناناس المقلوب,Gâteau renversé à l'ananas,
Pineberry,الأناريز,Pineberry,
Pinga,,Pinga,
Pink Salmon,سمك السلمون الوردي,Saumon rose,
Pink Shrimp,الروبيان الوردي,Crevette Rose,
Pink Wafer,رقاقة ويفر وردي,Plaquette rose,
Pinto Beans,فاصوليا بينتو,Haricots pinto,
Piombi,,Piombi,
Pipe Rigate,باستا بايب ريجايت,Pipe rigate,
Piperonyl Acetate,أسيد البتوكسايد,Acétate de pipéronyle,
Piperonyl Isobutyrate,,Isobutyrate de pipéronyle,
Pipli,فلفل طويل,Pipli,
Pisco,بيسكو,Pisco,
Pistachio,فستق,Pistache,
Pistachio kernels,حبات الفستق,Amandes de pistache,
Pistachio Nut,الفستق,Pistache,
Pistachio nuts,الفستق,Pistaches,
Pistachio Oil,زيت الفستق,Huile de pistache,
Pistachios,فستق,Pistaches,
Pita Bread,خبز البيتا,Pain pita,
Pitahaya,فاكهة التنين,Pitahaya,
Pitaya,فاكهة التنين,Pitaya,
Pito,بيرة بيتو,Pito,
Pizza,بيتزا,Pizza,
Pizza Blend,مزيج البيتزا,Mélange de pizza,
Pizza Blend Cheese,جبنة مزيج البيتزا,Mélange de pizza au fromage,
Pizzocheri,بيزوكري,Pizzocheri,
Plain caramel,كاراميل سادة,Caramel nature,
Plantain,موز الجنة,Banane plantain,
Plasticizer,ملدن,Plastifiant,
Plum,برقوق,Prune,
Plum Brandy,براندي البرقوق,Brandy au prune,
Plum Jerkum,مشروب البرقوق جيركم,Jerkum au prune,
Plum Wine,نبيذ البرقوق,Vin de prune,
Plumcot,بلمكوت الخوخ المهجن,Plumcot,
Pluot,بلمكوت الخوخ المهجن,Pluot,
Poblano Pepper,فلفل بوبلانو,Poivre Poblano,
Pocari Sweat,بوكاري سويت,Pocari Sweat,
Polenta,عصيدة دقيق الذرة,Polenta,
Pollock,سمك بلوق,Goberge,
Polos,,Polos,
Poly Vinyl Pyrrolidone,بولي فينيل بيروليدون,Poly vinyl pyrrolidone,
Polydextrose,,Polydextrose,
Polyethylene Glycol,البولي ايثيلين جلايكول,Polyéthylène glycol,
Polyethylene Glycol 8000,جلايكول البولي إيثيلين ٨٠٠٠,Polyéthylène Glycol 8000,
Polyglycerate 60,بولي غليسيريل ٦٠,Polyglycérate 60,
Polyglycerol Esters of Fatty Acids,,Esters polyglycéroliques d'acides gras,
Polyglycerol polyricinoleate,,Polyricinoléate de polyglycérol,
Polyglycitol syrup,,Sirop de polyglycitol,
Polymethylsiloxane,,Polyméthylsiloxane,
Polyoxyethylene 20 Mono and Diglycerides of Fatty Acids,,Polyoxyéthylène 20 mono et diglycérides d'acides gras,
Polyoxyethylene 20 Sorbitan Monooleate,,Monooléate de polyoxyéthylène 20 de sorbitan,
Polyoxyethylene 20 Sorbitan Monostearate,,Monostéarate de sorbitan polyoxyéthylène 20,
Polyoxyethylene 20 Sorbitan Tristearate,,Polyoxyéthylène 20 Tristéarate de sorbitan,
Polyoxyethylene 40 Stearate,بولي أوكسي إيثيلين ٤٠ ستيرات,Stéarate de polyoxyéthylène 40,
Polyoxyethylene 8 Stearate,بولي أوكسي إيثيلين ٨ ستيرات,Stéarate de polyoxyéthylène 8,
Polyoxyethylene Sorbitan Ester,,Polyoxyéthylène Sorbitan Ester,
Polyoxyethylene Sorbitan Fatty Acid Esters,,Esters d'acides gras de polyoxyéthylène sorbitane,
Polyoxyethylene sorbitan mono oleate Polysorbate 80,,Mono oléate de polyoxyéthylène sorbitan Polysorbate 80,
Polyoxyethylene sorbitan monolaurate Polysorbate 20,,Monolaurate de polyoxyéthylène sorbitan Polysorbate 20,
Polyoxyethylene sorbitan monopalmitate Polysorbate 40,,Monopalmitate de polyoxyéthylène sorbitan Polysorbate 40,
Polyoxyethylene sorbitan monostearate Polysorbate 60,,Monostéarate de polyoxyéthylène sorbitan Polysorbate 60,
Polyoxyethylene sorbitan tristearate Polysorbate 65,,Tristéarate de polyoxyéthylène sorbitan Polysorbate 65,
Polyoxyl 40 Stearate,,Polyoxé 40 stéarate,
Polyphosphates,فوسفات,Polyphosphates,
Polysorbate 20,بوليسوربات 20,Polysorbate 20,
Polysorbate 40,بوليسوربات 40,Polysorbate 40,
Polysorbate 60,بوليسوربات 60,Polysorbate 60,
Polysorbate 65,بوليسوربات 65,Polysorbate 65,
Polysorbate 80,بوليسوربات 80,Polysorbate 80,
Polysorbates,بوليسوربات,Polysorbates,
Polyunsaturated Fat,دهون غير مشبعة,Graisse polyinsaturée,
Polyvinyl alcohol,كحول البولي فينيل,Alcool polyvinylique,
Polyvinyl alcohol polyethylene glycol graft co polymer,,Copolymère greffé d'alcool polyvinylique de polyéthylèneglycol,
Polyvinylpolypyrrolidone,,Polyvinylpolypyrrolidone,
Polyvinylpyrrolidone,,Polyvinylpyrrolidone,
Polyvinylpyrrolidone vinyl acetate copolymer,,Copolymère de polyvinylpyrrolidone acétate de vinyle,
Pomace,ثفل التفاح أو العنب,Marc,
